Model,Accuracy,precision,recall,f1
Logistic Regression,0.8138762115285253,0.7030181258549931,0.2040018855753486,0.316237837006269
Decision Tree,0.6283628917692095,0.6180221678422341,0.26630030268446386,0.37221600908562863
Random Forest,0.7332240782206872,0.6016784091182341,0.3104004366595544,0.40952871954762315
Naive Bayes,0.6941525485041792,0.3886248053969901,0.23224830050116607,0.2907436309565406
