年份,股票代码,交易数量
2008,GE,19852106200.0
2008,INTC,18140798900.0
2008,AAPL,10213471500.0
2008,AMAT,6238970400.0
2008,GLW,4380879400.0
2008,GS,4244211000.0
2008,IYR,4066094300.0
2008,GLD,3479463200.0
2008,GG,2872721900.0
2008,AMGN,2772688100.0
2008,GPS,2655333000.0
2008,ATVI,2595204100.0
2008,AMZN,2519208700.0
2008,IBM,2377449700.0
2008,ALTR,2242771600.0
2008,ITUB,2238586500.0
2008,ADBE,1979714000.0
2008,GNW,1954985300.0
2008,GFI,1904866800.0
2008,GGB,1756241700.0
2008,IPG,1723336800.0
2008,IYF,1615199800.0
2008,IP,1499674200.0
2008,AKAM,1376108500.0
2008,IVV,1347284300.0
2008,ATML,1214734300.0
2008,IR,1155752100.0
2008,IGT,1113782600.0
2008,GT,1106646900.0
2008,GCI,1081436800.0
2008,INTU,1080970300.0
2008,AMTD,1076213600.0
2008,ADSK,1050306400.0
2008,APOL,977002600.0
2008,IBN,972238600.0
2008,ACAS,947257500.0
2008,IVZ,939746400.0
2008,ITW,918571800.0
2008,IDTI,859628200.0
2008,GME,858437500.0
2008,ASML,854923600.0
2008,INFY,847985100.0
2008,AMLN,838465700.0
2008,AMKR,821547500.0
2008,ADP,819307200.0
2008,GIS,811498300.0
2008,ADCT,781383200.0
2008,ISIL,747285900.0
2008,ARRS,731941600.0
2008,ILF,713201000.0
2008,ICO,661305300.0
2008,GD,656860200.0
2008,ILMN,604948800.0
2008,GTI,593840900.0
2008,IJR,565237400.0
2008,ICE,546309800.0
2008,IYE,520737400.0
2008,IACI,515907300.0
2008,ANAD,510119700.0
2008,GSK,503344900.0
2008,IVW,489898400.0
2008,AFFX,486738700.0
2008,ATHR,466576400.0
2008,IAG,462337300.0
2008,IM,445730800.0
2008,GR,439564500.0
2008,ITT,436847000.0
2008,ING,436100500.0
2008,ASBC,433550600.0
2008,IPI,429053000.0
2008,GES,419200600.0
2008,IAI,401451000.0
2008,ALXN,393208300.0
2008,AINV,388494800.0
2008,IVE,385305500.0
2008,ISIS,382453300.0
2008,GNK,372873400.0
2008,INFA,372199000.0
2008,IYT,360686400.0
2008,IVAN,359009400.0
2008,INCY,351654400.0
2008,IBB,349930100.0
2008,ALKS,336965600.0
2008,ARBA,336042200.0
2008,IMA,331217500.0
2008,GA,324700600.0
2008,GLG,320899000.0
2008,GDP,320183100.0
2008,GNA,318995000.0
2008,GPC,309851900.0
2008,ICON,305096900.0
2008,AMCC,303645900.0
2008,ARNA,292428100.0
2008,AKNS,290719200.0
2008,GIL,287899100.0
2008,ADTN,279963300.0
2008,IVN,272421200.0
2008,IRM,268728100.0
2008,GWW,268260800.0
2008,GOL,267963200.0
2008,IYG,267534500.0
2008,ARTG,262024300.0
2008,IEV,260098100.0
2008,ISRG,259176400.0
2008,AMSC,256100000.0
2008,ANSS,254032000.0
2008,GAP,253770000.0
2008,ALGN,252901200.0
2008,GXP,247584500.0
2008,GRA,246724600.0
2008,ARTC,245858400.0
2008,IJH,245593500.0
2008,IO,244736700.0
2008,ARCC,244489000.0
2008,IRF,240266900.0
2008,INFN,238179200.0
2008,IBKR,237028200.0
2008,AMMD,236266300.0
2008,GFA,235274900.0
2008,ATPG,227759700.0
2008,IGE,224601300.0
2008,IYM,218121300.0
2008,ABFS,217035600.0
2008,ITB,216695100.0
2008,GVA,216517800.0
2008,GRS,214954000.0
2008,GU,211833900.0
2008,ACLS,208333500.0
2008,IFF,207747600.0
2008,ARUN,205401200.0
2008,ITG,204136800.0
2008,INT,201897200.0
2008,GAS,200682200.0
2008,ACGY,200242100.0
2008,IDCC,199541400.0
2008,AMED,199499100.0
2008,IT,196964800.0
2008,APWR,194828900.0
2008,ACOR,193298700.0
2008,AUXL,188084600.0
2008,ADPT,187793500.0
2008,ID,187663200.0
2008,IOC,187086200.0
2008,GET,182196300.0
2008,ASCA,179540900.0
2008,ARAY,178971900.0
2008,ITRI,177678400.0
2008,INP,176358000.0
2008,GPN,176121900.0
2008,GKK,172689600.0
2008,GCO,166624900.0
2008,AVCT,166302100.0
2008,ASTM,164290000.0
2008,ADLR,163537400.0
2008,AATI,162905600.0
2008,GEO,160050600.0
2008,IEX,157247800.0
2008,ACXM,156959100.0
2008,ARMH,156181800.0
2008,GGG,155881800.0
2008,GMT,154781300.0
2008,GDI,154186000.0
2008,IFSIA,153789200.0
2008,ARIA,151636500.0
2008,AMAG,151526400.0
2008,ITMN,149492100.0
2008,ALTI,148501800.0
2008,IFN,147436600.0
2008,GPI,147245700.0
2008,ACTU,146072000.0
2008,INAP,140960500.0
2008,IEO,140094800.0
2008,IMMR,137106100.0
2008,IDXX,135651300.0
2008,ALVR,134938900.0
2008,AVID,134249600.0
2008,ALSK,134213000.0
2008,ALNY,134178500.0
2008,ADRE,131710200.0
2008,ANPI,130819200.0
2008,IN,126893800.0
2008,AEIS,124369700.0
2008,IDA,122065800.0
2008,ACGL,118523900.0
2008,GMXR,118347200.0
2008,IJT,116960000.0
2008,ASIA,116271100.0
2008,IRC,115960400.0
2008,ABAT,115461600.0
2008,GMR,112807200.0
2008,GRT,112713700.0
2008,GPK,111500400.0
2008,ACUS,110317800.0
2008,GWR,110286700.0
2008,INWK,109171500.0
2008,IGR,108822800.0
2008,ITC,108086500.0
2008,ALTH,107717900.0
2008,APOG,106523200.0
2008,IHS,104035900.0
2008,ICLR,103190000.0
2008,GFF,102268000.0
2008,GCA,100368800.0
2008,ATMI,100354200.0
2008,IMMU,100143400.0
2008,AKRX,99504000.0
2008,ASTI,99392800.0
2008,AZPN,98916400.0
2008,ISPH,98371400.0
2008,ABAX,98337900.0
2008,IYZ,97955600.0
2008,ABXA,97738000.0
2008,ATSG,97738000.0
2008,IVC,97649400.0
2008,ACIW,97588100.0
2008,ADVS,96953200.0
2008,GY,95668300.0
2008,GBE,95249300.0
2008,GLS,94926700.0
2008,ARGN,94228600.0
2008,GEF,92020300.0
2008,GRO,91129700.0
2008,ATLS,90935000.0
2008,IPHS,90463300.0
2008,ISLE,90102500.0
2008,ICOG,90062600.0
2008,GHL,89786200.0
2008,APKT,89775500.0
2008,IMN,87350200.0
2008,ARRY,87195400.0
2008,AUTH,87063500.0
2008,ARQL,86910500.0
2008,INSM,85701400.0
2008,ATHN,84465900.0
2008,INSU,83755800.0
2008,ASTE,83503900.0
2008,AFSI,83004100.0
2008,GSI,82576300.0
2008,GTN,81861400.0
2008,INSP,81719900.0
2008,GIM,81421300.0
2008,ISBC,80898000.0
2008,AXAS,80733700.0
2008,IMOS,80580600.0
2008,GB,79841700.0
2008,IBOC,78727500.0
2008,ABMD,77684700.0
2008,IJK,76783700.0
2008,ANDE,76362400.0
2008,GLF,76348200.0
2008,ISYS,74636700.0
2008,IPAS,74206300.0
2008,ASGN,74192400.0
2008,IGW,73849100.0
2008,GLT,73285800.0
2008,GSG,72158100.0
2008,ATSI,72046000.0
2008,IYW,71667900.0
2008,IWA,71576300.0
2008,ACAD,71153500.0
2008,IOO,69392600.0
2008,ISCA,68457900.0
2008,IGD,68408400.0
2008,IVAC,67742700.0
2008,IJS,67350000.0
2008,ALGT,67249200.0
2008,IDC,67085700.0
2008,GAB,66394100.0
2008,ITWO,66100600.0
2008,AGEN,65210700.0
2008,IIVI,65085200.0
2008,AVII,64926800.0
2008,GBX,64765700.0
2008,ACMR,64089500.0
2008,IRET,63486600.0
2008,AMCN,63402600.0
2008,IDIX,63277300.0
2008,IART,63162200.0
2008,AAWW,63145800.0
2008,AGYS,63085200.0
2008,ANSV,62938600.0
2008,AMSG,62880700.0
2008,IIIN,62362300.0
2008,ACPW,62315700.0
2008,IPGP,60863300.0
2008,AFCE,60075500.0
2008,IBI,60034800.0
