年份,股票代码,交易数量
2005,INTC,14749705300.0
2005,AAPL,6514321000.0
2005,AMAT,6476758200.0
2005,GE,5029546700.0
2005,GLW,2511982000.0
2005,ATVI,2129682200.0
2005,AMGN,2059393500.0
2005,ATML,1883083000.0
2005,AMZN,1805485400.0
2005,ALTR,1653995800.0
2005,ADBE,1604844100.0
2005,IBM,1539128900.0
2005,ASTM,1530293300.0
2005,AMTD,1326448200.0
2005,GPS,1259648100.0
2005,GS,947414500.0
2005,INTU,889883200.0
2005,IPG,863366500.0
2005,IDTI,791429500.0
2005,ADSK,761493800.0
2005,GGB,735789000.0
2005,IP,705858700.0
2005,AMLN,694490200.0
2005,GT,692317900.0
2005,ALTI,692201500.0
2005,IGT,638254900.0
2005,ITW,597267800.0
2005,IR,563094700.0
2005,ASML,562265800.0
2005,ITUB,546318300.0
2005,GG,542913800.0
2005,IYR,513654100.0
2005,AMKR,512794700.0
2005,GLD,496322300.0
2005,AKAM,491115000.0
2005,GNW,481927600.0
2005,ISIL,473087000.0
2005,GME,472970600.0
2005,ADP,467547800.0
2005,IIJI,463349200.0
2005,APOL,462770900.0
2005,GIS,450026900.0
2005,ARRS,443095800.0
2005,GD,427810400.0
2005,ADCT,381334700.0
2005,GFI,379943000.0
2005,IACI,363181500.0
2005,INFY,344167000.0
2005,IJR,340618900.0
2005,GSK,334879500.0
2005,INSP,333877400.0
2005,ITT,326720800.0
2005,ADPT,314730200.0
2005,INFA,312628700.0
2005,IRF,310622700.0
2005,GCI,302973700.0
2005,AFFX,297412300.0
2005,IVAN,294317800.0
2005,AMCC,288336100.0
2005,ADTN,287941200.0
2005,ARBA,270670900.0
2005,ALKS,265557900.0
2005,ALXN,264069600.0
2005,IBB,263225600.0
2005,IM,258494200.0
2005,ALVR,255367400.0
2005,ACLS,253821500.0
2005,INCY,253187300.0
2005,GRA,249598900.0
2005,GR,238974600.0
2005,GTI,227704200.0
2005,IRM,223338700.0
2005,ACXM,222098300.0
2005,ALGN,216024100.0
2005,GMR,214626800.0
2005,AVII,214208200.0
