年份,股票代码,交易数量
2007,INTC,16361588400.0
2007,GE,9420553600.0
2007,AAPL,8820760200.0
2007,AMAT,6186130900.0
2007,GLW,3754399300.0
2007,AMGN,3261189000.0
2007,ATVI,2663473000.0
2007,AMZN,2447744100.0
2007,GS,2414312600.0
2007,GPS,2020151300.0
2007,IBM,2019185700.0
2007,ATML,2001381800.0
2007,GG,1924427900.0
2007,ADBE,1693879900.0
2007,ALTR,1660654800.0
2007,GLD,1521803200.0
2007,AMTD,1450930700.0
2007,IYR,1411675400.0
2007,AKAM,1330672500.0
2007,IPG,1260903100.0
2007,ITUB,1246526500.0
2007,GFI,1151540700.0
2007,GGB,1099583400.0
2007,GT,1096362300.0
2007,INTU,898586400.0
2007,GNW,834804100.0
2007,IP,824189300.0
2007,IGT,822672100.0
2007,ICE,793346700.0
2007,IDTI,756430100.0
2007,AMKR,734589800.0
2007,ADSK,686745400.0
2007,ILMN,666497800.0
2007,ASML,666104200.0
2007,ISIL,664555700.0
2007,ARRS,654028100.0
2007,IR,645296200.0
2007,ADP,639080200.0
2007,GME,615008300.0
2007,ADCT,610437200.0
2007,ITW,601215600.0
2007,IBN,584242500.0
2007,INFY,568630700.0
2007,IVV,559966000.0
2007,APOL,554692600.0
2007,ACAS,553204500.0
2007,GIS,546931300.0
2007,ANAD,537837700.0
2007,AVNR,526601700.0
2007,GSK,505767100.0
2007,AMLN,496840600.0
2007,ILF,495626500.0
2007,GCI,463081800.0
2007,INSM,462821600.0
2007,GD,435398400.0
2007,ATHR,422258300.0
2007,ISIS,421404700.0
2007,IVAN,405842900.0
2007,GES,392747800.0
2007,IJR,386080600.0
2007,AMCC,381341800.0
2007,INFA,376083100.0
2007,ALXN,373401200.0
2007,GTI,362557800.0
2007,ICO,358848500.0
2007,IACI,353974100.0
2007,ARTG,335221500.0
2007,IBB,334977100.0
2007,AMMD,334477300.0
2007,ACLS,332048600.0
2007,GOL,331684300.0
2007,AFFX,327769000.0
2007,IVZ,317899000.0
2007,ADLR,311499700.0
2007,AINV,308403000.0
2007,ALKS,305942900.0
2007,IM,303352000.0
2007,IAG,289179000.0
2007,ALTI,282869600.0
2007,ADPT,281706800.0
2007,ITT,271491300.0
2007,ARNA,271195200.0
2007,ARIA,268693700.0
2007,ALGN,265995100.0
2007,ASTM,262903000.0
2007,IAI,261185300.0
2007,ISRG,257667500.0
2007,GR,254875400.0
2007,IRF,254423600.0
2007,ARBA,252140700.0
2007,ADTN,243723100.0
2007,GPN,240627000.0
2007,IO,235883000.0
2007,INCY,228700700.0
2007,IVN,227952900.0
2007,ICON,220555800.0
2007,IMMU,206156500.0
2007,GRA,205994700.0
2007,IOC,201832200.0
2007,IDCC,201400800.0
2007,ANPI,200659000.0
2007,ACXM,197435900.0
2007,GVA,194081100.0
2007,AZPN,193333600.0
2007,GA,192056300.0
2007,INAP,188969200.0
2007,ALVR,187567400.0
2007,GNA,187089400.0
2007,INT,183979000.0
2007,ITMN,183544500.0
2007,IT,183335500.0
2007,IMOS,181483700.0
2007,GLG,180940000.0
2007,ANSS,180662800.0
2007,IYT,180642500.0
2007,ING,177711000.0
2007,ASBC,176812500.0
2007,IMMR,174127700.0
2007,ARCC,172285900.0
2007,AERG,167009200.0
2007,ID,166732200.0
2007,AEIS,164337600.0
2007,GCO,159864700.0
2007,IFF,158158900.0
2007,GAS,157221800.0
2007,INP,156990700.0
2007,ACAD,156973300.0
2007,ITG,156616800.0
2007,GEO,156533600.0
2007,ITRI,154810000.0
2007,GPC,154169600.0
2007,GWW,153522500.0
2007,GAP,152758900.0
2007,GRS,152747700.0
2007,IBKR,150960500.0
2007,AVCT,150765900.0
2007,ARAY,149338200.0
2007,IRM,148956100.0
2007,ASTI,148417700.0
2007,GMR,146558500.0
2007,IN,145822600.0
2007,IEV,145660600.0
2007,GPI,145287500.0
2007,GXP,145208200.0
2007,ARTC,141145900.0
2007,IVW,139444100.0
2007,GGG,139406100.0
2007,ABFS,139069300.0
2007,INSP,137617200.0
2007,AATI,135312400.0
2007,AMSC,135105700.0
2007,ACGY,134459000.0
2007,IFN,134058100.0
2007,ACIW,133639600.0
2007,AVID,132230600.0
2007,GDP,130645900.0
2007,IFSIA,130602100.0
2007,IMA,130179200.0
2007,IVAC,127971200.0
2007,ARMH,126762300.0
2007,ARUN,126206900.0
2007,GMT,124993300.0
2007,ASCA,124559900.0
2007,AVII,121705900.0
2007,IDA,121180800.0
2007,GDI,120923000.0
2007,IEX,117152500.0
2007,GNK,116422100.0
2007,INWK,116001900.0
2007,AGEN,115634900.0
2007,ASIA,115504200.0
2007,IJH,114550300.0
2007,ATPG,114523500.0
2007,GIL,114139400.0
2007,GY,113599800.0
2007,ALNY,109692300.0
2007,GLT,108736200.0
2007,IYZ,108269100.0
2007,ISLN,105316800.0
2007,IRC,103871400.0
2007,APKT,103728300.0
2007,AMED,103652100.0
2007,ACTU,102742500.0
2007,ANDE,102524800.0
2007,ALTH,102446400.0
2007,ABAT,102030100.0
2007,ATMI,101912200.0
2007,IMAX,101518800.0
2007,IVE,101358800.0
2007,ARRY,101120800.0
2007,ACTS,100385500.0
2007,AMAG,99654200.0
2007,ABXA,98290300.0
2007,ATSG,98290300.0
2007,AFSI,97924500.0
2007,IGR,96876200.0
2007,GCA,95439500.0
2007,INSU,94899900.0
2007,IMN,94881100.0
2007,ACGL,94577400.0
2007,ITC,92701900.0
2007,IYE,92236800.0
2007,AGYS,91318400.0
2007,GWR,91246300.0
2007,ANGO,89942200.0
2007,ALSK,89343400.0
2007,AUDC,89228000.0
2007,GBX,89172200.0
2007,ITB,88627900.0
2007,IDXX,87829700.0
2007,ARQL,87757900.0
2007,IVC,87605900.0
2007,ACUS,87493500.0
2007,IDIX,86954200.0
2007,INFN,86118000.0
2007,ACLI,85806600.0
2007,ASGN,85734600.0
2007,APOG,85668000.0
2007,ISBC,84539600.0
2007,GFA,83998500.0
2007,GHL,83746600.0
2007,ACOR,83273100.0
2007,GET,82931800.0
2007,GFF,82305500.0
2007,ICOG,80453900.0
2007,IPAS,80297600.0
2007,AKRX,80065700.0
2007,ITWO,77374100.0
2007,ISLE,76503600.0
2007,GKK,75558300.0
2007,GRT,73725400.0
2007,GB,73685700.0
2007,GEF,73244500.0
2007,AUXL,73236600.0
2007,IDC,72809300.0
2007,GLS,72639800.0
2007,ICOC,71855400.0
2007,IHS,71457500.0
2007,ACTG,71137900.0
2007,IART,70705200.0
2007,ABAX,69657400.0
2007,ADRE,69474200.0
2007,IRBT,68490300.0
2007,ICGE,67766800.0
2007,GTN,67476300.0
2007,IKAN,66615200.0
2007,IWA,65691000.0
2007,GPK,65229300.0
2007,ADPI,64160900.0
2007,ADVS,63648700.0
2007,IIIN,61822000.0
2007,IGE,61636200.0
2007,IGD,61258500.0
2007,ICLR,61015800.0
2007,ACMR,59727800.0
2007,ARWR,59116900.0
2007,GLF,58832900.0
2007,ISPH,57961100.0
2007,AMSG,57391600.0
2007,ARII,57032700.0
2007,AXAS,56929900.0
2007,ABMD,56880100.0
2007,IPSU,56470800.0
2007,ININ,56289900.0
2007,AMSF,56285400.0
2007,IUSA,55771400.0
2007,AFCE,54784800.0
2007,IIVI,54728400.0
2007,GIM,54674000.0
2007,AACC,54043800.0
2007,ALXA,53529600.0
2007,ACPW,53364700.0
2007,ACEL,53139700.0
2007,ISSC,53055200.0
2007,IYM,52898100.0
2007,GAB,52620400.0
2007,ATLS,52592000.0
2007,ARGN,52187200.0
2007,IFON,52118800.0
2007,ASTE,51601200.0
2007,GCH,50345700.0
2007,IGOI,50197000.0
2007,IJT,50065600.0
2007,IHR,49180700.0
2007,IXC,48885600.0
2007,IYF,47708600.0
2007,GMXR,47460500.0
2007,ISCA,47077500.0
2007,GIB,46992200.0
2007,AMRI,46561200.0
2007,IBAS,46181300.0
2007,AMWD,46068400.0
2007,AKNS,45411700.0
2007,IRS,45323500.0
2007,IBI,45275600.0
2007,IGM,44914700.0
2007,III,44813300.0
2007,GRB,44594400.0
2007,ACTL,44566100.0
2007,AXTI,44259200.0
2007,ASFI,44220300.0
2007,ATAC,44143200.0
2007,ADLS,43906200.0
2007,ICGN,43847900.0
2007,APPY,43576600.0
2007,IXYS,43558000.0
2007,GDV,43495400.0
2007,APAC,43279100.0
2007,ANDS,43100600.0
2007,IGW,42957200.0
2007,IIF,42842100.0
2007,IRIS,42512100.0
2007,IOSP,42308600.0
2007,IBOC,42240500.0
2007,IYW,41955100.0
2007,ICFI,41326400.0
2007,GBE,41219600.0
2007,ICAD,40752100.0
2007,IPGP,40198300.0
2007,AVAV,40170300.0
2007,IPCC,39394700.0
2007,IGV,39274900.0
2007,IGN,39233800.0
2007,INDM,38909200.0
2007,AIMC,38873200.0
2007,IPAR,38806800.0
2007,AVNW,38729300.0
2007,AHII,38547100.0
2007,ASEI,38307800.0
2007,IGLD,38011200.0
2007,ICTG,37919000.0
2007,AAWW,37876900.0
2007,ALAN,37372800.0
2007,IBCP,36877100.0
2007,IRET,36607100.0
2007,ICA,36473000.0
2007,ASMI,36233900.0
2007,ABTL,36119800.0
2007,ANEN,34838000.0
2007,IDT,34210300.0
2007,IJK,33363600.0
2007,IMGN,33298700.0
2007,AIRM,32914000.0
2007,AMCN,32867400.0
2007,GSI,32802000.0
2007,ABCO,31621600.0
2007,IYH,31339100.0
2007,ASYS,31114400.0
2007,ACTI,30968100.0
2007,ICUI,30722500.0
2007,AMSWA,30540400.0
2007,IIJI,30247700.0
2007,ALOG,30111800.0
2007,IJJ,30019800.0
2007,IJS,29982800.0
2007,IGTE,29856600.0
2007,IDSA,29764000.0
2007,ATSI,29546000.0
2007,GSG,29525800.0
2007,AMRN,29141600.0
2007,GRO,29064700.0
2007,ATHN,28982300.0
2007,IWC,28892600.0
2007,ISSI,28846400.0
2007,ALGT,28252900.0
2007,AHCI,28058800.0
2007,AMCS,28049900.0
2007,ACAT,27737200.0
2007,ABCW,27617800.0
2007,ASTIZ,27300800.0
2007,IDG,27263700.0
2007,AMFI,26944100.0
2007,ABIO,26783300.0
2007,ARTX,26782100.0
2007,ANSW,26492100.0
2007,IHF,26482200.0
2007,ISTA,26103800.0
2007,AMIE,25811200.0
2007,GCS,25553900.0
2007,IDSY,25442100.0
2007,AUTH,25385500.0
2007,ISF,25277100.0
2007,INHX,25094700.0
2007,IMKTA,24945100.0
2007,ALLT,24829000.0
2007,IAAC,24403900.0
2007,ACAP,24207500.0
2007,ARLP,23891300.0
2007,ALLI,23619700.0
2007,IOO,22914600.0
2007,IYC,22845800.0
2007,IFNY,22707400.0
2007,ISYS,21822600.0
2007,AFOP,21804000.0
2007,IEO,21688200.0
2007,ATCO,21416000.0
2007,GSH,21397200.0
2007,GTY,21130800.0
2007,IDU,20529900.0
2007,IXJ,20350600.0
2007,AEY,20236500.0
2007,ATNI,20140300.0
2007,AIPC,19990300.0
2007,ACCL,19844300.0
2007,AERT,19558200.0
2007,ARBX,19520100.0
2007,IDRA,19500200.0
2007,AIRV,19479700.0
2007,AAON,19374900.0
2007,IEZ,19322900.0
2007,IBNK,19227800.0
2007,IPCS,19086100.0
2007,IPHS,19073800.0
2007,ANTP,18999500.0
2007,IMNY,18827800.0
2007,IYG,18716900.0
2007,ADAT,18261600.0
2007,ABBC,18137400.0
2007,ABMC,18004300.0
2007,ANGN,17851600.0
2007,INDB,17456100.0
2007,IYY,17239600.0
2007,IRR,17180700.0
2007,AIXG,17052800.0
2007,GEJ,16732700.0
2007,GOM,16399600.0
2007,APSG,16299500.0
2007,AWBC,16233400.0
2007,AHGP,16110000.0
2007,ITA,16066000.0
2007,ANIK,15991500.0
2007,AFFY,15965700.0
2007,IHI,15874100.0
2007,AVGN,15517900.0
2007,ISI,15426800.0
2007,ISG,15391500.0
2007,ITRN,14518300.0
2007,GMA,14476200.0
2007,INOD,14407300.0
2007,ANSV,14347500.0
2007,INZ,13964300.0
2007,ATEC,13931700.0
2007,GF,13925400.0
2007,ALOY,13733500.0
2007,GPX,13701000.0
2007,GBL,13571000.0
2007,AEZS,13341800.0
2007,ACET,13335500.0
2007,ASGR,13281600.0
2007,IGA,13210600.0
2007,AVTR,13196000.0
2007,ICOP,12957500.0
2007,GDL,12886300.0
2007,GMK,12814800.0
2007,GHI,12694100.0
2007,IBKC,12532600.0
2007,GSP,12445600.0
2007,IXN,12355000.0
2007,IRE,12317000.0
2007,GNV,12203300.0
2007,IXP,12110100.0
2007,GKM,12076100.0
2007,ASUR,12032800.0
2007,AMPL,12025800.0
2007,GU,11931500.0
2007,INSW,11853400.0
2007,IYJ,11772400.0
2007,ADRD,11705700.0
2007,ARTW,11637000.0
2007,ABCB,11537500.0
2007,IBCA,11486100.0
2007,AEPI,11309000.0
2007,AFFM,11299700.0
2007,IND,11155600.0
2007,ATRO,10698700.0
2007,IRIX,10647200.0
2007,ACHN,10598900.0
2007,ARSD,10428400.0
2007,GEG,10424200.0
2007,ITF,10353800.0
2007,ATEA,10201300.0
2007,INB,10195400.0
2007,IEP,10191200.0
2007,GDF,10155800.0
2007,GEC,10120900.0
2007,ACFN,10078800.0
2007,INXI,10012200.0
2007,APPA,9973700.0
2007,ANLY,9911200.0
2007,IIT,9877100.0
2007,AFAM,9865200.0
2007,AVCA,9754800.0
2007,IPII,9688300.0
2007,GGC,9478800.0
