年份,股票代码,交易数量
2001,INTC,12936547700.0
2001,AMAT,9994331200.0
2001,GE,5449695500.0
2001,AAPL,3380921000.0
2001,GLW,2939677100.0
2001,AMGN,2438792700.0
2001,ADBE,2374914200.0
2001,IBM,2125060300.0
2001,AMZN,2109572800.0
2001,ALTR,2054191100.0
2001,INTU,1810965000.0
2001,ATML,1636305400.0
2001,ATVI,1495306800.0
2001,GPS,1262754300.0
2001,IGT,1045046400.0
2001,AMCC,973108800.0
2001,IDTI,775196900.0
2001,GS,759902600.0
2001,ASML,671605600.0
2001,IP,655794200.0
2001,ARTG,628768400.0
2001,AKAM,613528400.0
2001,GD,586786800.0
2001,IPG,480537200.0
2001,ITW,474557000.0
2001,ARBA,455334600.0
2001,IR,436158800.0
2001,ADP,424558600.0
2001,ISIL,424466000.0
2001,IRF,408547100.0
2001,ADPT,399926300.0
2001,ADCT,397035100.0
2001,ADSK,396334800.0
2001,AFFX,387032000.0
2001,GIS,330127200.0
2001,ACLS,306666900.0
2001,INFA,302923700.0
2001,ACXM,288462300.0
2001,APOL,271384700.0
2001,GT,247918200.0
2001,AMKR,223477200.0
2001,AMTD,207829900.0
2001,GCI,205789400.0
2001,INCY,201085600.0
2001,GSK,195137400.0
2001,GR,186716600.0
2001,ALKS,185621200.0
2001,ITT,179123800.0
2001,ANAD,169644000.0
2001,ALXN,168994000.0
2001,IACI,168031200.0
2001,ACTU,167393800.0
2001,IMNY,162945600.0
2001,AMLN,155960700.0
2001,ANSS,153386800.0
2001,ADVS,152066800.0
2001,IDXX,150236400.0
2001,ACPW,148521000.0
2001,ADTN,147838600.0
2001,AUDC,147517000.0
2001,IRM,147197000.0
2001,ARRS,145043900.0
2001,ASTM,143265800.0
2001,ITWO,136667400.0
2001,INFY,134728400.0
2001,INSP,134610100.0
2001,ISSI,132566700.0
2001,GFI,132107200.0
2001,AEIS,117124500.0
2001,ASMI,116914200.0
2001,AVCT,113317700.0
2001,IFF,108704900.0
2001,IMGN,108581200.0
2001,ANEN,107357000.0
2001,AZPN,104662100.0
2001,ISIS,103317600.0
2001,GWW,98529000.0
2001,ICLR,94310800.0
2001,AMRI,94240400.0
2001,AXTI,93556900.0
2001,GPC,92794400.0
2001,ITMN,92623900.0
2001,ARMH,92561800.0
2001,INSU,91541600.0
2001,ATMI,89872500.0
2001,GGB,89549600.0
2001,IMMU,86938000.0
