年份,股票代码,交易数量
2009,GE,29650449700.0
2009,INTC,16209481200.0
2009,IYR,7960549500.0
2009,AMAT,5358335200.0
2009,AAPL,5115555700.0
2009,GNW,4690993400.0
2009,GLD,4128559800.0
2009,GS,4004542600.0
2009,GLW,3996790000.0
2009,ATVI,3700160000.0
2009,ITUB,2583693600.0
2009,GG,2521379400.0
2009,GPS,2389019200.0
2009,AMZN,2145739900.0
2009,AMGN,2096328400.0
2009,IBM,2084230400.0
2009,GCI,2032807900.0
2009,ALTR,1989977800.0
2009,IP,1988645100.0
2009,ADBE,1899193500.0
2009,IYF,1861428700.0
2009,GGB,1857435500.0
2009,IPG,1775754600.0
2009,GFI,1688658700.0
2009,ACAS,1507961600.0
2009,IR,1423334300.0
2009,GT,1413734100.0
2009,IGT,1326581500.0
2009,AKAM,1322406300.0
2009,IVZ,1259480800.0
2009,IVV,1203724200.0
2009,GME,1203022700.0
2009,AMTD,1161535300.0
2009,ATML,1133084000.0
2009,ADSK,1121157800.0
2009,IAG,1022084100.0
2009,ADP,1015217600.0
2009,ITW,984274500.0
2009,INTU,957606800.0
2009,APOL,937955600.0
2009,ISIL,895942000.0
2009,ARNA,806294000.0
2009,IBN,782133500.0
2009,GIS,765868900.0
2009,IDTI,745032600.0
2009,AMLN,707786600.0
2009,AMKR,693955100.0
2009,ASML,690539200.0
2009,GD,687436000.0
2009,ADCT,668397200.0
2009,ING,626981000.0
2009,INFY,616501100.0
2009,IACI,560128500.0
2009,IVN,558282100.0
2009,ILF,551782600.0
2009,AINV,542805700.0
2009,ILMN,536857000.0
2009,IYM,512076500.0
2009,GTI,507253900.0
2009,ICO,494693300.0
2009,ATHR,486914300.0
2009,AGEN,485201800.0
2009,ICE,483510100.0
2009,INCY,478520300.0
2009,GNK,477971700.0
2009,ARRS,472398700.0
2009,GSK,469297100.0
2009,ASBC,462139100.0
2009,ATPG,458001400.0
2009,IYG,444393900.0
2009,IJR,435145400.0
2009,ASTM,432449700.0
2009,IO,427928000.0
2009,IM,426879100.0
2009,ARIA,419924100.0
2009,AVII,419148900.0
2009,ITT,418139300.0
2009,IRM,414071400.0
2009,GR,398913600.0
2009,IVW,398423000.0
2009,IPI,398368900.0
2009,GXP,384196900.0
2009,GES,380925800.0
2009,ALTH,354728500.0
2009,GNA,334427900.0
2009,INFA,321745600.0
2009,IJH,312554400.0
2009,INSM,303918700.0
2009,GIL,297539200.0
2009,GLG,295062900.0
2009,APWR,293684400.0
2009,GPC,290779100.0
2009,GRS,290719900.0
2009,INT,288207900.0
2009,ACLS,283151600.0
2009,ISRG,282408800.0
2009,ARMH,281975600.0
2009,ANPI,273178700.0
2009,AFFX,272916100.0
2009,ARBA,271278500.0
2009,ADLS,270794300.0
2009,ARTG,265518900.0
2009,IVE,264479100.0
2009,GWW,260175800.0
2009,ACAD,257982200.0
2009,IYT,252062300.0
2009,ICON,250302400.0
2009,ARCC,249316900.0
2009,GMXR,244668100.0
2009,IVAN,242314200.0
2009,ALKS,242213300.0
2009,ALXN,240430700.0
2009,ISIS,235910400.0
2009,GDP,235299800.0
2009,AMED,234287400.0
2009,AVNR,234147800.0
2009,ADTN,232962500.0
2009,AONE,232856400.0
2009,GOL,232189700.0
2009,IBB,228756900.0
2009,AMCC,225598100.0
2009,ARUN,224984500.0
2009,ANDS,221373600.0
2009,AMSC,220824000.0
2009,ABAT,220423600.0
2009,IMMU,219578300.0
2009,AMMD,211714000.0
2009,IMA,211659400.0
2009,ASIA,210364800.0
2009,GFA,209284400.0
2009,GVA,206681200.0
2009,IDCC,200817800.0
2009,IBOC,195831900.0
2009,GAP,194489800.0
2009,GMR,191620800.0
2009,AKRX,191523600.0
2009,GPN,191051100.0
2009,AVCT,189691800.0
2009,ANSS,189624900.0
2009,ADPT,189013700.0
2009,ANAD,185361700.0
2009,ITRI,185328300.0
2009,ACOR,179285900.0
2009,GU,179228300.0
2009,IRE,175793400.0
2009,ALGN,174512900.0
2009,GMT,173081000.0
2009,ACXM,170732900.0
2009,IRC,166414700.0
2009,IFF,165939900.0
2009,GRA,164826700.0
2009,INFN,164228700.0
2009,ID,161371100.0
2009,ASCA,158343800.0
2009,ATLS,158136700.0
2009,IBKR,157726900.0
2009,ABFS,157422900.0
2009,GET,156791100.0
2009,IRF,155099600.0
2009,IOC,154290400.0
2009,GKK,152380700.0
2009,INP,152299600.0
2009,GRT,150151200.0
2009,ITG,148317300.0
2009,ATHN,147265100.0
2009,GPI,145533400.0
2009,ATHX,145022400.0
2009,IYZ,143703200.0
2009,ARST,142843800.0
2009,GSI,141106400.0
2009,GCA,140891200.0
2009,AVNW,140873800.0
2009,ITMN,140818600.0
