年份,股票代码,交易数量
2000,INTC,13238366000.0
2000,AMAT,7920327400.0
2000,AAPL,4298582600.0
2000,GE,4175617100.0
2000,GLW,2481568700.0
2000,ALTR,2334911700.0
2000,AMGN,2254476800.0
2000,AMZN,2167676300.0
2000,ATML,1881065100.0
2000,IBM,1832906700.0
2000,INTU,1695490000.0
2000,ADBE,1244878600.0
2000,GPS,1040834700.0
2000,IDTI,827221800.0
2000,IP,781512600.0
2000,ATVI,533164600.0
2000,AMTD,528210600.0
2000,ADPT,517888200.0
2000,AKAM,497603000.0
2000,AMCC,486258700.0
2000,GD,460782200.0
2000,GS,456035000.0
2000,IGT,443346000.0
2000,IR,430666200.0
2000,ADP,410969100.0
2000,ITW,399709600.0
2000,ADSK,379762800.0
2000,ARTG,366743700.0
2000,ASTM,352319100.0
2000,ARIA,342466000.0
2000,ARBA,333326200.0
2000,GT,329814600.0
2000,ASML,323992300.0
2000,AFFX,312050800.0
2000,IRF,300814500.0
2000,INCY,284313400.0
2000,ADCT,283132100.0
2000,AMKR,278257600.0
2000,ANAD,277835300.0
2000,GIS,270815800.0
2000,IPG,269818700.0
2000,ARRS,234869300.0
2000,ALKS,221723700.0
2000,IDCC,219085000.0
2000,GCI,215604900.0
2000,ACXM,209263700.0
2000,ISIL,209022100.0
2000,ISSI,208000100.0
2000,IMGN,182291100.0
2000,ADTN,180300600.0
2000,APOL,173720200.0
2000,IACI,173392500.0
2000,GSK,171877900.0
2000,IMMU,171192800.0
2000,ITT,164170400.0
2000,INSP,162954900.0
2000,INFY,157849200.0
2000,IDXX,157404800.0
2000,ACIW,148705700.0
2000,IM,144535500.0
2000,GR,142257700.0
2000,AMCS,134822800.0
2000,GRA,131469900.0
2000,ISIS,129056900.0
2000,GWW,126470300.0
2000,ALXN,117291600.0
2000,AUDC,117089600.0
2000,AWRE,116669500.0
2000,ACTU,116251900.0
2000,ACLS,116143400.0
2000,AVCT,114697400.0
2000,ACTL,114187600.0
2000,ACCL,114125100.0
2000,GPC,112534400.0
2000,AEIS,110907400.0
2000,ANSS,110583200.0
2000,IRM,110498800.0
2000,ATMI,106587500.0
2000,ASMI,103811200.0
2000,AMIC,101637600.0
2000,ARTC,99614200.0
2000,IFF,98533000.0
2000,IDC,98330100.0
2000,AMSC,98182400.0
2000,IGTE,96462400.0
2000,ASBC,95361900.0
2000,AZPN,91128800.0
2000,AMLN,84965800.0
2000,ARQL,82974000.0
2000,GIL,81352800.0
2000,INFA,81315900.0
2000,AXTI,80387400.0
2000,GFI,79128000.0
2000,IMAX,78351100.0
2000,IT,76723900.0
2000,ACPW,71136700.0
2000,GES,70870000.0
2000,ABTL,68175500.0
2000,AVID,67736500.0
2000,AMSWA,66725200.0
2000,GXP,66365900.0
2000,ASYS,65586600.0
2000,ADVS,63877300.0
2000,ILMN,62855200.0
2000,IIVI,60624400.0
2000,ANEN,60233200.0
2000,APAC,60230500.0
2000,ING,58881000.0
2000,GTI,58100600.0
2000,ICGE,57727200.0
2000,IBIS,57156400.0
2000,INSW,56111400.0
2000,GGB,53457800.0
2000,IFSIA,53408900.0
2000,AVGN,52294300.0
2000,GIM,52061500.0
2000,IIJI,51566500.0
2000,ALVR,50471200.0
2000,ARMH,49918600.0
2000,IUSA,49643900.0
2000,ISYS,48971800.0
2000,ISCA,48727100.0
2000,AVII,48384500.0
2000,ASIA,48089700.0
2000,GMT,47085100.0
2000,ITWO,46953400.0
2000,AGYS,45928200.0
2000,INPH,45034100.0
2000,APOG,45005000.0
2000,IO,44075600.0
2000,AMRI,44052900.0
2000,IDA,43727100.0
2000,IBAS,43394500.0
2000,ABMD,42946400.0
2000,GCO,42799900.0
2000,INSM,42514700.0
2000,INSU,41542700.0
2000,ISLE,41462200.0
2000,INT,41011600.0
2000,ADAT,40304000.0
2000,ITG,39316600.0
2000,IXYS,38181800.0
2000,ASTE,38159300.0
2000,GAP,38129400.0
2000,AERG,38114300.0
2000,GEO,36498200.0
2000,IMMR,36353800.0
2000,ATSI,36267700.0
2000,IMA,36217100.0
2000,IMN,34716400.0
2000,GAS,34248700.0
2000,ACAS,34138600.0
2000,IFN,34003100.0
2000,IVV,33659800.0
2000,ABFS,33327600.0
2000,ANLY,32250800.0
2000,IN,32226500.0
2000,AGEN,32128200.0
2000,GY,32103300.0
2000,IIF,31395200.0
2000,ICON,30865600.0
2000,ANPI,30412400.0
2000,ATGN,30013600.0
2000,AVNR,29860300.0
2000,IMNY,29814900.0
2000,IGOI,29634600.0
2000,ALSK,28886100.0
2000,IJH,28469600.0
2000,AMPL,28297000.0
2000,ASGN,27505100.0
2000,ALTI,27502600.0
2000,GAB,27056200.0
2000,AMOT,26719300.0
2000,INAP,26236900.0
2000,IIT,25774900.0
2000,APSG,25762500.0
2000,ACME,25084000.0
2000,ARNA,24275000.0
2000,IGLD,24240600.0
2000,GGG,23980300.0
2000,GWR,23933900.0
2000,AMSG,23564100.0
2000,GVA,23502000.0
2000,IEX,21791900.0
2000,AXAS,21683600.0
2000,INOC,21503400.0
2000,ABMC,21114600.0
2000,ISRG,20768200.0
2000,ATRM,20063900.0
2000,ITMN,19915100.0
2000,IVC,19765600.0
2000,INVE,19426800.0
2000,GRB,19385200.0
2000,AIPC,19325600.0
2000,ANIK,19043500.0
2000,GPK,18443300.0
2000,ICLR,18383600.0
2000,IHR,18096100.0
2000,IRSN,18081300.0
2000,GRT,18047700.0
2000,ICOC,17870800.0
2000,IJR,17484000.0
2000,ISPH,17375100.0
2000,ARLP,17032200.0
2000,AMFI,16785300.0
2000,GLT,16255500.0
2000,ABAX,15908800.0
2000,ITRI,15292100.0
2000,ALDA,15101700.0
2000,GFF,14978100.0
2000,ACEL,14953700.0
2000,ALSE,14717900.0
2000,ADAM,14562100.0
2000,ININ,14135300.0
2000,ATCO,13456900.0
2000,ALTH,13426200.0
2000,ATAC,13315500.0
2000,AERT,13284100.0
2000,ASRV,13116400.0
2000,IBCP,12981900.0
2000,ACFN,12907100.0
2000,ICAD,12895600.0
2000,GRR,12889100.0
2000,ARTX,12843400.0
2000,ABCW,12673500.0
2000,GF,12594000.0
2000,GDI,12519600.0
2000,ACAT,12231000.0
2000,IYE,11853000.0
2000,IOSP,11310000.0
2000,AMMD,11009400.0
2000,IART,10977000.0
2000,ICUI,10967900.0
2000,AMWD,10917200.0
2000,INOD,10854600.0
2000,AAON,10693200.0
2000,ACGY,10530100.0
2000,GPX,10118800.0
2000,ADEP,9887400.0
2000,IBN,9705400.0
2000,IQI,9484000.0
2000,AVSR,9475900.0
2000,GIB,9289900.0
2000,ACET,9215200.0
2000,GSH,9162700.0
2000,GEF,9118200.0
2000,ISIG,9060700.0
2000,GHI,8804900.0
2000,GCH,8749900.0
2000,ICCC,8740600.0
2000,IIIN,8692000.0
2000,ID,8451700.0
2000,GPI,8424400.0
2000,IAAC,8210300.0
2000,ALOY,7976300.0
2000,IIM,7905100.0
2000,IVAN,7897600.0
2000,IDSY,7599200.0
2000,INBP,7544600.0
2000,GET,7249200.0
2000,ARGN,7019800.0
