年份,股票代码,交易数量
2003,INTC,14380315600.0
2003,AMAT,7427141800.0
2003,GE,5173819100.0
2003,GLW,2631647500.0
2003,AAPL,2543937600.0
2003,AMGN,2535077200.0
2003,AMZN,2277924100.0
2003,ATVI,2232708800.0
2003,ALTR,2184642800.0
2003,ATML,2067371500.0
2003,IBM,1853423000.0
2003,ADBE,1760550000.0
2003,INTU,1708860400.0
2003,GPS,1484279600.0
2003,IVAN,1468758400.0
2003,GS,983067800.0
2003,IGT,909400100.0
2003,AMTD,855579300.0
2003,IPG,846522800.0
2003,GD,775471800.0
2003,IACI,711543400.0
2003,ADSK,710310000.0
2003,ISIL,708398400.0
2003,ASML,703034900.0
2003,IP,669977900.0
2003,GT,637289900.0
2003,ADP,631795900.0
2003,AKAM,599210500.0
2003,IR,564204200.0
2003,GFI,556454800.0
2003,ITW,535176400.0
2003,IDTI,532325300.0
2003,ADCT,504400000.0
2003,APOL,498487100.0
2003,ADTN,496201200.0
2003,ASTM,445876200.0
2003,GG,441270400.0
2003,GIS,387230800.0
2003,ITUB,380578000.0
2003,AFFX,354206500.0
2003,ALKS,340567500.0
2003,AMKR,334237400.0
2003,IIJI,312043300.0
2003,ARRS,309668800.0
2003,AMCC,301906800.0
2003,ACLS,292564600.0
2003,ITT,273962600.0
2003,GCI,260763200.0
2003,GSK,241980800.0
2003,IRF,241673200.0
2003,ADPT,236626500.0
2003,AMLN,230409800.0
2003,IDCC,228590100.0
2003,GGB,227392600.0
2003,GR,213527500.0
2003,ALTI,212910500.0
2003,IRM,207753200.0
2003,INFY,205751600.0
2003,ASIA,202833500.0
2003,ITMN,199492400.0
2003,ANPI,197510600.0
2003,INFA,191598100.0
2003,GME,189283400.0
2003,AVCT,181469100.0
2003,AVID,179067800.0
2003,ARTG,176284400.0
2003,ACXM,173960000.0
2003,ACAS,169063400.0
2003,IM,158458100.0
2003,ITG,155529300.0
2003,INCY,150731800.0
2003,IDXX,149159200.0
2003,ISIS,148680100.0
2003,AMMD,143858800.0
2003,IMAX,142626500.0
2003,IJR,142073700.0
2003,IMNY,133237600.0
2003,GMT,133188000.0
2003,ABXA,132557700.0
2003,ATSG,132557700.0
2003,AVII,127689500.0
2003,GRA,127572400.0
2003,GWW,126395200.0
2003,IVV,125342400.0
2003,ING,124723200.0
2003,IBB,124319100.0
2003,ALTH,123586400.0
2003,GTI,122406000.0
2003,AGEN,120158100.0
2003,IMMU,119834600.0
2003,ARMH,118187600.0
2003,GPC,114356900.0
2003,ANAD,114168400.0
2003,IFF,113254800.0
2003,AZPN,113115600.0
2003,ARIA,111257100.0
2003,ICGE,110891100.0
2003,ISSI,108615900.0
2003,ALVR,108546400.0
2003,INSP,107713500.0
2003,AEIS,107638300.0
2003,ATMI,107546600.0
2003,IGOI,106853600.0
2003,ADLR,105040700.0
2003,ANSS,104565600.0
2003,ACTU,104141500.0
2003,ALGN,96709200.0
2003,ABTL,96697500.0
2003,ALXN,95731800.0
2003,ADAT,95344500.0
2003,IEX,93834600.0
2003,ISPH,93194600.0
2003,INSM,92544500.0
2003,GAS,92122100.0
2003,ADVS,90812100.0
