年份,股票代码,交易数量
2004,INTC,16478927100.0
2004,AMAT,8168555000.0
2004,GE,5505861100.0
2004,AAPL,4350059600.0
2004,GLW,2527691100.0
2004,AMZN,2144231600.0
2004,AMGN,2103407100.0
2004,ATVI,2079968400.0
2004,ATML,2041629500.0
2004,ALTR,1796759400.0
2004,ADBE,1448205400.0
2004,GPS,1400331400.0
2004,IBM,1316247600.0
2004,INTU,1151424000.0
2004,AMTD,1131479000.0
2004,ADSK,951664100.0
2004,GS,908601800.0
2004,GT,831212300.0
2004,IGT,795459700.0
2004,AKAM,793775200.0
2004,ASML,710043500.0
2004,IVAN,659666300.0
2004,IPG,659349000.0
2004,IR,642805200.0
2004,APOL,618059600.0
2004,ITW,606934800.0
2004,IP,589917000.0
2004,ISIL,555880700.0
2004,AMKR,550273700.0
2004,IDTI,507911900.0
2004,ADP,487801200.0
2004,ARRS,484597500.0
2004,AMCC,445224600.0
2004,GFI,442755700.0
2004,GG,437596100.0
2004,GGB,425237000.0
2004,GIS,403284200.0
2004,GD,399555800.0
2004,ITUB,398953500.0
2004,IACI,397615500.0
2004,ASTM,373688600.0
2004,ADCT,355468400.0
2004,GSK,346070900.0
2004,INFY,330353000.0
2004,INSP,322222400.0
2004,ACLS,321406300.0
2004,ADTN,306634000.0
2004,GTI,303272500.0
2004,ALTI,286785200.0
2004,ICGE,281756300.0
2004,INFA,270640100.0
2004,IRF,267726900.0
2004,AFFX,265888900.0
2004,ITT,260698600.0
2004,ADPT,256774500.0
2004,GRA,255108300.0
2004,GCI,249906200.0
2004,ALVR,249270600.0
2004,ISSI,244581200.0
2004,IM,236566700.0
2004,INCY,234196000.0
2004,AMLN,227466200.0
2004,IJR,225853800.0
2004,GNW,223328200.0
2004,ALTH,219140000.0
2004,ALKS,216783900.0
2004,ARIA,208360400.0
2004,IO,207984600.0
2004,AIRT,205036500.0
2004,IPAS,202069500.0
2004,ARBA,195767900.0
2004,IBB,193808200.0
2004,IRM,193419000.0
2004,IYR,189874800.0
2004,IMOS,187623800.0
2004,ACAS,185847500.0
2004,ARTG,176237900.0
2004,AZPN,169324300.0
2004,IDSA,169212600.0
2004,ANPI,167350900.0
2004,ALGN,166409200.0
2004,GME,164466800.0
2004,IDCC,160622600.0
2004,IMAX,153510200.0
2004,ARMH,153452500.0
2004,ACXM,152772600.0
2004,GR,151691800.0
2004,ABXA,149392500.0
2004,ATSG,149392500.0
2004,ABTL,149347600.0
2004,AERG,146125800.0
2004,ADLR,145755000.0
2004,AGEN,145085500.0
2004,IBN,143782900.0
2004,AVID,142933900.0
2004,ADAT,142885700.0
2004,ACGY,139459000.0
2004,IVV,136196800.0
2004,IN,133436300.0
2004,AMED,132635800.0
2004,ITMN,130843900.0
2004,ISIS,130635200.0
2004,IDXX,130621200.0
2004,GPN,130047200.0
2004,ID,127572400.0
2004,AMMD,126546000.0
2004,ASIA,126421700.0
2004,GPC,126083000.0
2004,IAG,123831000.0
2004,AUDC,122645400.0
2004,AEIS,121586000.0
2004,GY,120784100.0
2004,GMR,120338000.0
2004,IMNY,119289600.0
2004,ITG,117703300.0
2004,GWW,115617500.0
2004,ILMN,110615600.0
2004,GLD,110483300.0
2004,IGOI,108890600.0
2004,ATMI,108188700.0
2004,ING,106437200.0
2004,AVCT,105905100.0
2004,ALXN,102876200.0
2004,ASCA,102310600.0
2004,GES,101345200.0
2004,GB,97431900.0
2004,GMT,96556100.0
2004,AIPC,94677400.0
2004,GXP,91876300.0
2004,IFF,90105600.0
2004,IT,89783100.0
2004,ARTC,89024500.0
2004,IMMU,88559300.0
2004,ANAD,87255000.0
2004,ISRG,87238100.0
2004,IVN,82336300.0
2004,AVII,81036500.0
2004,ANSS,80841600.0
2004,ATHR,79139900.0
2004,IEX,78247400.0
2004,AXAS,77760600.0
2004,ISPH,75695800.0
2004,ISSC,75669300.0
2004,GIM,75230700.0
2004,ASBC,74904100.0
2004,ACIW,74842700.0
2004,GCO,74544500.0
2004,ACTU,74222000.0
2004,GAS,73674900.0
2004,IPAR,73414900.0
2004,ABAX,72563000.0
2004,ICLR,70468400.0
2004,ACTI,69457600.0
2004,IVE,69398400.0
2004,IMN,68627800.0
2004,AINV,68321100.0
2004,ACTL,66650800.0
2004,IIJI,66574500.0
2004,GOL,65915800.0
2004,ASMI,65729400.0
2004,IYE,64056600.0
2004,AMSG,63373500.0
2004,INSM,62640700.0
2004,ABFS,61390300.0
2004,INAP,60817300.0
2004,ITRI,59897300.0
2004,IFN,59666500.0
2004,ISLE,59537600.0
2004,ADVS,59200300.0
2004,AMCS,58887900.0
2004,GGG,58566000.0
2004,IMGN,55994200.0
2004,ATPG,55928600.0
2004,GAP,55345000.0
2004,INT,53749200.0
2004,AMSC,52488800.0
2004,GDI,52231600.0
2004,IJH,51669000.0
2004,ARNA,51664100.0
2004,GVA,50454300.0
2004,ARRY,50128100.0
2004,AGYS,49957300.0
2004,IDA,49742100.0
2004,GWR,49625000.0
2004,AMRI,48901000.0
2004,IVW,48880900.0
2004,IGR,48510600.0
2004,GDV,47860700.0
2004,IIIN,47810400.0
2004,IJS,47653800.0
2004,ALAN,46985300.0
2004,ARTX,46777500.0
2004,ICON,46502200.0
2004,IGN,46336600.0
2004,ARQL,46199900.0
2004,GRS,45948200.0
2004,IFSIA,45945100.0
2004,ACEL,44988100.0
2004,IART,44432400.0
2004,ACCL,43578500.0
2004,IBIS,43380800.0
2004,IIVI,43166000.0
2004,GLT,42239200.0
2004,IEV,42003400.0
2004,GET,41589500.0
2004,ARLP,41058400.0
2004,IYZ,40203800.0
2004,GFF,39778000.0
